date,model,symbol,regime,score,entry,stop,final_stop,target,exit,exit_reason,hold_days,ret,r_multiple,exit_date,cost_pct,has_target
2024-09-02,momentum,KALYANKJIL,bull,0.7663894874732476,634.59603568156,596.3049529838573,596.3049529838573,711.1782010769654,711.1782010769654,target,9,0.11817860668741126,2.0,2024-09-13,0.0025,True
2024-09-02,momentum,GLENMARK,bull,0.7540256604718992,1686.2584344618056,1611.033096200047,1611.033096200047,1836.7091109853225,1611.033096200047,stop,14,-0.047110800292760435,-1.0,2024-09-20,0.0025,True
2024-09-02,momentum,GRANULES,bull,0.7364197851590739,684.3279874999021,649.6612892773175,649.6612892773175,753.6613839450713,649.6612892773175,stop,8,-0.053158016120653795,-1.0,2024-09-12,0.0025,True
2024-09-02,momentum,PPLPHARMA,bull,0.7307615435278936,196.32279734171556,185.06653425424204,185.06653425424204,218.83532351666258,218.83532351666258,target,3,0.11217097290673878,2.0,2024-09-05,0.0025,True
2024-09-02,momentum,INDUSTOWER,bull,0.7276964136386747,423.800506004821,404.3594328342481,404.3594328342481,462.6826523459668,404.3594328342481,stop,4,-0.048373171209360855,-1.0,2024-09-06,0.0025,True
2024-09-02,momentum,EMAMILTD,bull,0.7150803873860979,779.0364891309398,739.3416877491987,739.3416877491987,858.4260918944219,739.3416877491987,stop,10,-0.05345371261238724,-1.0,2024-09-16,0.0025,True
2024-09-02,momentum,PERSISTENT,bull,0.7123374378577257,5139.302309025774,4926.142177716934,4926.142177716934,5565.622571643453,5379.7451171875,time,20,0.044285106947192954,1.1279914620307576,2024-09-30,0.0025,True
2024-09-02,momentum,COHANCE,bull,0.7112280530276319,1076.5999755859375,1013.1710474379634,1013.1710474379634,1203.4578318818858,1203.4578318818858,target,4,0.11533193309744044,2.0,2024-09-06,0.0025,True
2024-09-02,momentum,NAUKRI,bull,0.7009592632802052,1499.2768837471438,1441.364828178368,1441.364828178368,1615.1009948846952,1441.364828178368,stop,2,-0.04112665808868882,-1.0,2024-09-04,0.0025,True
2024-09-02,momentum,VOLTAS,bull,0.6999732293298117,1761.6015633520637,1677.2182264511252,1677.2182264511252,1930.3682371539408,1829.1114501953125,time,20,0.03582301710426944,0.800038127462318,2024-09-30,0.0025,True
2024-09-02,momentum,WOCKPHARMA,bull,0.6963213912946342,1065.0,969.906253667066,969.906253667066,1255.187492665868,969.906253667066,stop,12,-0.0917899026600319,-1.0,2024-09-18,0.0025,True
2024-09-02,momentum,PFIZER,bull,0.6945994915190487,6063.8506112468185,5782.803498130148,5782.803498130148,6625.94483748016,5782.803498130148,stop,10,-0.048847961243537796,-1.0,2024-09-16,0.0025,True
