date,model,symbol,regime,score,entry,stop,target,exit,exit_reason,hold_days,ret,r_multiple,exit_date,cost_pct
2024-09-02,momentum,KALYANKJIL,bull,0.7663894874732476,634.5960956101417,596.3049504396384,711.1783859511481,711.1783859511481,target,9,0.11817879218099397,2.0,2024-09-13,0.0025
2024-09-02,momentum,GLENMARK,bull,0.7540256604718992,1686.2584344618056,1611.0330930087257,1836.7091173679653,1611.0330930087257,stop,14,-0.04711080218530633,-1.0,2024-09-20,0.0025
2024-09-02,momentum,GRANULES,bull,0.7364197851590739,684.3279874999021,649.6612892773175,753.6613839450713,649.6612892773175,stop,8,-0.053158016120653795,-1.0,2024-09-12,0.0025
2024-09-02,momentum,PPLPHARMA,bull,0.7307615435278936,196.32279734171556,185.06653428294675,218.83532345925317,218.83532345925317,target,3,0.11217097261431513,2.0,2024-09-05,0.0025
2024-09-02,momentum,INDUSTOWER,bull,0.7276964136386747,423.800506004821,404.3594328342481,462.6826523459668,404.3594328342481,stop,4,-0.048373171209360855,-1.0,2024-09-06,0.0025
2024-09-02,momentum,EMAMILTD,bull,0.7150803873860979,779.0364891309398,739.3416245203271,858.4262183521653,739.3416245203271,stop,10,-0.053453793775301406,-1.0,2024-09-16,0.0025
2024-09-02,momentum,PERSISTENT,bull,0.7123374378577261,5139.302309025774,4926.14216124777,5565.622604581782,5379.74462890625,time,20,0.044285011937944485,1.1279890842020108,2024-09-30,0.0025
2024-09-02,momentum,COHANCE,bull,0.7112280530276319,1076.5999755859375,1013.1710474379634,1203.4578318818858,1203.4578318818858,target,4,0.11533193309744044,2.0,2024-09-06,0.0025
2024-09-02,momentum,NAUKRI,bull,0.700959263280205,1499.2768837471438,1441.364697566486,1615.1012561084592,1441.364697566486,stop,2,-0.04112674520527376,-1.0,2024-09-04,0.0025
2024-09-02,momentum,VOLTAS,bull,0.6999732293298117,1761.6015633520637,1677.218226601854,1930.3682368524833,1829.1114501953125,time,20,0.03582301710426944,0.8000381288913766,2024-09-30,0.0025
2024-09-02,momentum,WOCKPHARMA,bull,0.6963213912946342,1065.0,969.906253667066,1255.187492665868,969.906253667066,stop,12,-0.0917899026600319,-1.0,2024-09-18,0.0025
2024-09-02,momentum,PFIZER,bull,0.6945994915190487,6063.8506112468185,5782.803498130148,6625.94483748016,5782.803498130148,stop,10,-0.048847961243537796,-1.0,2024-09-16,0.0025
2024-09-02,momentum,TORNTPHARM,bull,0.6922085507022396,3372.61375032137,3247.876215033626,3622.0888208968577,3334.328125,time,20,-0.013851915207521657,-0.3069294678065657,2024-09-30,0.0025
2024-09-02,momentum,LUPIN,bull,0.6874503551480907,2205.195985991379,2132.1051000164866,2351.377757941164,2132.1051000164866,stop,13,-0.03564484809477525,-1.0,2024-09-19,0.0025
2024-09-02,momentum,BIKAJI,bull,0.6870163055430468,843.1362544269996,788.7910246254814,951.8267140300359,951.8267140300359,target,14,0.12641209342777343,2.0,2024-09-20,0.0025
2024-09-02,momentum,GABRIEL,bull,0.6819575915261336,534.2893324363681,499.79645509219023,603.2750871247239,499.79645509219023,stop,6,-0.06705842415361313,-1.0,2024-09-10,0.0025
2024-09-02,momentum,COLPAL,bull,0.6757317670371348,3483.2689686825615,3379.893821214637,3690.019263618411,3690.019263618411,target,20,0.05685524841598627,2.0,2024-09-30,0.0025
2024-09-02,momentum,OFSS,bull,0.6681877261022503,10184.739799300538,9678.187290342474,11197.844817216666,11197.844817216666,target,9,0.09697284249576071,2.0,2024-09-13,0.0025
2024-09-02,momentum,ZENSARTECH,bull,0.6646990171061006,758.5089175806069,716.0238969997393,843.4789587423419,716.0238969997393,stop,12,-0.05851123414129483,-1.0,2024-09-18,0.0025
2024-09-02,momentum,BBTC,bull,0.6586109394799401,2429.6504057456646,2255.644358055737,2777.6625011255196,2777.6625011255196,target,10,0.1407354607711761,2.0,2024-09-16,0.0025
2024-09-02,control_naive_low,CREDITACC,bull,-1.047484822202949,1214.25,1155.463756585766,1331.8224868284678,1197.5999755859375,time,20,-0.016212188111231204,-0.2832299437257633,2024-09-30,0.0025
2024-09-09,momentum,DEEPAKFERT,bull,0.7173211559249099,1060.1253918710208,973.2028889517313,1233.9703977095999,973.2028889517313,stop,5,-0.0844926619867859,-1.0,2024-09-16,0.0025
2024-09-09,momentum,NATCOPHARM,bull,0.7023979132306324,1540.717188098715,1456.461025254068,1709.229513788009,1456.461025254068,stop,9,-0.05718632627420822,-1.0,2024-09-20,0.0025
2024-09-09,momentum,AUROPHARMA,bull,0.690347682510325,1522.2857543449159,1460.967432916031,1644.9223972026857,1460.967432916031,stop,15,-0.04278042780658614,-1.0,2024-09-30,0.0025
2024-09-09,momentum,VIJAYA,bull,0.6815287309829473,919.2706988447355,868.2611608709711,1021.2897747922643,944.5845336914062,time,20,0.025036866864660282,0.49625689336159673,2024-10-08,0.0025
2024-09-09,momentum,CHOLAHLDNG,bull,0.6679543211568256,1824.2516262792317,1695.5138382408468,2081.7272023560017,2081.7272023560017,target,10,0.13864038456521527,2.0000000000000018,2024-09-23,0.0025
2024-09-09,momentum,360ONE,bull,0.6664464967187236,1089.2486534032785,1025.9715267171869,1215.8029067754617,1025.9715267171869,stop,8,-0.06059245344337755,-1.0,2024-09-19,0.0025
2024-09-09,momentum,DIVISLAB,bull,0.6653276106820809,5156.113441441954,4957.294086693956,5553.752150937949,5499.2294921875,time,20,0.06404548132858595,1.7257678518293327,2024-10-08,0.0025
2024-09-09,momentum,IEX,bull,0.6573319916666421,204.9116879550925,195.45547043587732,223.82412299352288,223.82412299352288,target,10,0.08979554071398382,2.0,2024-09-23,0.0025
2024-09-09,momentum,CROMPTON,bull,0.6527188047084879,455.419965848024,431.43283811955666,503.39422130495865,431.43283811955666,stop,11,-0.055170347211944526,-1.0,2024-09-24,0.0025
2024-09-09,momentum,SHRIRAMFIN,bull,0.6526165422245533,647.3481325346795,620.7435680058,700.5572615924386,700.5572615924386,target,8,0.0796955395923053,2.0,2024-09-19,0.0025
2024-09-09,momentum,DMART,bull,0.641290798221427,5361.39990234375,5149.524821864923,5785.150063301404,5149.524821864923,stop,14,-0.04201861161973858,-1.0,2024-09-27,0.0025
2024-09-09,momentum,BLUESTARCO,bull,0.6399712754994735,1793.8928160864302,1682.759723334033,2016.1590015912248,2016.1590015912248,target,10,0.12140159741521911,2.0,2024-09-23,0.0025
2024-09-09,momentum,HSCL,bull,0.6373845223015104,531.3059523269054,498.83059575849876,596.2566654637187,596.2566654637187,target,5,0.11974729057213723,2.0,2024-09-16,0.0025
2024-09-09,momentum,NAVA,bull,0.6370403168227088,485.3534456058284,455.0916216004124,545.8770936166604,545.8770936166604,target,5,0.12220015111417432,1.9999999999999982,2024-09-16,0.0025
2024-09-09,control_naive_low,RBLBANK,bull,-1.0232886257557612,209.99075991822755,199.5633860529407,230.84550764880126,199.5633860529407,stop,17,-0.052156346161837674,-1.0,2024-10-03,0.0025
2024-09-09,control_naive_low,IDFCFIRSTB,bull,-1.031094823045889,72.40958573734072,69.87151373900552,77.48572973401112,72.67791748046875,time,20,0.0012057489059719728,0.10572266795584893,2024-10-08,0.0025
2024-09-16,momentum,OFSS,bull,0.7483605907202879,11362.755255769282,10815.066536777502,12458.132693752841,10815.066536777502,stop,2,-0.05070034460512546,-1.0,2024-09-18,0.0025
2024-09-16,momentum,DIXON,bull,0.7386034084696558,13992.77250514242,13295.846496800292,15386.624521826678,15386.624521826678,target,20,0.09711228313917125,2.0,2024-10-15,0.0025
2024-09-16,momentum,NEWGEN,bull,0.7200106671657475,1163.6089034397621,1074.1532713058352,1342.5201677076159,1342.5201677076159,target,8,0.15125549614563066,2.0,2024-09-26,0.0025
