date,model,symbol,regime,score,entry,stop,final_stop,target,exit,exit_reason,hold_days,ret,r_multiple,exit_date,cost_pct,has_target
2009-01-02,momentum,HINDUNILVR,bear,0.6752822341057636,178.07055513358412,168.98429058850263,168.98429058850263,196.2430842237471,191.06683349609375,time,20,0.07048387065037315,1.4303213711232605,2009-02-03,0.0025,True
2009-01-02,reversal,TATACOMM,bear,0.701060606060606,244.47766496514512,222.3301284883557,222.3301284883557,299.84650615711865,222.3301284883557,stop,6,-0.09309124677073038,-1.0,2009-01-13,0.0025,True
2009-01-02,trend_lowbeta,HEROMOTOCO,bear,1.2026010973379395,450.49105410281436,402.57383143097616,553.7790659076635,,596.960693359375,time,60,0.3226332915994649,3.0567222198928365,2009-04-06,0.0025,False
2009-01-02,trend_lowbeta,SUNPHARMA,bear,1.2010516155252997,92.989179403031,81.29671360883577,86.58526294397163,,86.58526294397163,stop,38,-0.07136732951264907,-0.5476959754920664,2009-03-02,0.0025,False
2009-01-02,trend_lowbeta,HINDUNILVR,bear,1.1887065637065637,178.07055513358412,163.16610890727003,171.99567808052961,,171.99567808052961,stop,40,-0.03661500036318349,-0.4075882431867339,2009-03-04,0.0025,False
2009-01-02,trend_lowbeta,CIPLA,bear,1.1396565738671,173.4833166343755,151.9824497934125,174.4452539295275,,197.08343505859375,time,60,0.13353681830660763,1.0976356720304778,2009-04-06,0.0025,False
2009-01-02,trend_lowbeta,DRREDDY,bear,1.0479577321682585,83.929831102609,72.2592548140948,72.2592548140948,,72.2592548140948,stop,29,-0.14155158791808192,-1.0,2009-02-16,0.0025,False
2009-01-02,trend_lowbeta,INFY,bear,1.0446555578134524,93.69587787889934,80.88017088792978,99.62661637933216,,116.21987915039062,time,60,0.23789479410826647,1.757530917908982,2009-04-06,0.0025,False
2009-01-02,trend_lowbeta,BHARTIARTL,bear,0.9620757976021134,290.5469510109497,250.80495819373687,250.80495819373687,,250.80495819373687,stop,3,-0.13928337590166323,-1.0,2009-01-07,0.0025,False
2009-01-02,trend_lowbeta,PNB,bear,0.9416277179435074,82.40839284589413,69.67003966113141,69.67003966113141,,68.5733518166165,stop,4,-0.17038388356449957,-1.0860933771114736,2009-01-09,0.0025,False
2009-01-02,trend_lowbeta,BANKINDIA,bear,0.9290794553952448,215.04771239160914,183.651812232939,183.651812232939,,183.651812232939,stop,6,-0.14849504365569416,-1.0,2009-01-13,0.0025,False
2009-01-02,trend_lowbeta,NTPC,bear,0.9175980491769966,86.78153548234587,77.10992665927972,77.67008537230802,,87.6436767578125,time,60,0.007434616513463501,0.0891414542542784,2009-04-06,0.0025,False
