symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
BHARTIARTL,trend_lowbeta,2009-01-02,2009-01-07,290.5469510109497,250.80495819373687,250.80495819373687,251,72927.28470374839,182.31821175937097,stop,3,-1.0,-10157.558408879799,-0.13928337590166318
PNB,trend_lowbeta,2009-01-02,2009-01-09,82.40839284589413,69.67003966113141,68.5733518166165,785,64690.58838402689,161.72647096006722,stop,4,-1.0860933771114736,-11022.23367894301,-0.17038388356449963
BANKINDIA,trend_lowbeta,2009-01-02,2009-01-13,215.04771239160914,183.651812232939,183.651812232939,318,68385.17254053171,170.96293135132927,stop,6,-1.0,-10154.859181808435,-0.1484950436556942
PNB,trend_lowbeta,2009-01-12,2009-01-15,69.59649786189632,60.58454628133121,60.18505300396785,1086,75581.79667801941,188.95449169504852,stop,3,-1.0443292747183517,-10409.78360740537,-0.13772871332698458
PNB,trend_lowbeta,2009-01-19,2009-01-30,67.7081888519765,57.06110155281281,56.46110585223994,900,60937.36996677885,152.34342491694713,stop,8,-1.056353036630027,-10274.718124679854,-0.16861111876474663
DRREDDY,trend_lowbeta,2009-01-02,2009-02-16,83.929831102609,72.2592548140948,72.2592548140948,856,71843.9354238333,179.60983855958327,stop,29,-1.0,-10169.623141527736,-0.14155158791808187
BANKINDIA,trend_lowbeta,2009-01-19,2009-02-18,181.0343221859572,154.98482240616553,154.98482240616553,367,66439.59624224629,166.09899060561574,stop,21,-1.0,-9726.265409789155,-0.14639260260291304
PNB,trend_lowbeta,2009-02-03,2009-02-26,60.48598802754998,50.093505632626986,50.093505632626986,912,55163.22108112558,137.90805270281396,stop,16,-1.0,-9615.851996872585,-0.1743163616702344
SUNPHARMA,trend_lowbeta,2009-01-02,2009-03-02,92.989179403031,81.29671360883577,86.58526294397163,855,79505.7483895915,198.76437097397877,stop,38,-0.5476959754920664,-5674.112943469743,-0.07136732951264904
HINDUNILVR,trend_lowbeta,2009-01-02,2009-03-04,178.07055513358412,163.16610890727003,171.99567808052961,670,119307.27193950136,298.2681798487534,stop,40,-0.4075882431867339,-4368.435805395274,-0.03661500036318349
HINDUNILVR,trend_lowbeta,2009-03-04,2009-03-05,173.94190866472496,160.13964691676767,160.13964691676767,658,114453.77590138903,286.1344397534726,stop,1,-1.0,-9368.022669909367,-0.08184983497600515
BANKINDIA,trend_lowbeta,2009-02-25,2009-03-06,158.49017974423847,138.87503800190862,138.87503800190862,473,74965.85501902479,187.414637547562,stop,7,-1.0,-9465.376681669582,-0.12626250550023693
HEROMOTOCO,trend_lowbeta,2009-01-02,2009-04-06,450.49105410281436,402.57383143097616,596.960693359375,208,93702.1392533854,234.25534813346349,time,60,3.0567222198928365,30231.42961723115,0.32263329159946486
CIPLA,trend_lowbeta,2009-01-02,2009-04-06,173.4833166343755,151.9824497934125,197.08343505859375,465,80669.74223498462,201.67435558746155,time,60,1.0976356720304778,10772.380711674019,0.1335368183066077
INFY,trend_lowbeta,2009-01-02,2009-04-06,93.69587787889934,80.88017088792978,116.21987915039062,780,73082.78474554149,182.70696186385373,time,60,1.757530917908982,17386.01402989935,0.23789479410826647
NTPC,trend_lowbeta,2009-01-02,2009-04-06,86.78153548234587,77.10992665927972,87.6436767578125,1033,89645.32615326329,224.11331538315824,time,60,0.0891414542542784,666.4786221738672,0.007434616513463439
BHARTIARTL,trend_lowbeta,2009-01-12,2009-04-16,253.6482440263958,215.49105212069938,273.181640625,256,64933.95047075732,162.33487617689332,time,60,0.5119191330137717,4838.214653065786,0.07450978445004129
CIPLA,trend_lowbeta,2009-04-06,2009-04-20,193.25396567609863,181.46764728306718,192.76561317871594,804,155376.1884035833,388.4404710089583,stop,7,-0.04143384567579865,-781.0758789046429,-0.005026998582793331
ACC,trend_lowbeta,2009-04-06,2009-05-11,446.8940164298756,403.42087673996497,458.76256117618533,218,97422.89558171287,243.55723895428218,stop,20,0.27300868607528306,2343.7855157412405,0.024057851101083362
SUNPHARMA,trend_lowbeta,2009-03-04,2009-05-19,85.89291537856198,76.91220609421312,123.92119240652674,1011,86837.73744772616,217.0943436193154,stop,46,4.23444026790162,38229.49373165306,0.4402405550313437
HEROMOTOCO,trend_lowbeta,2009-04-06,2009-05-19,584.364630646311,544.6834171816178,761.3056488003587,239,139663.14672446833,349.15786681117083,stop,26,4.459062682432404,41939.74547200623,0.30029214188297093
CIPLA,trend_lowbeta,2009-04-23,2009-05-19,211.15447731166182,180.6437337983561,188.9759740218001,312,65880.19692123849,164.7004923030962,stop,16,-0.7269079916125174,-7084.393518739949,-0.10753449215110163
DRREDDY,trend_lowbeta,2009-02-17,2009-05-25,70.2360269162519,62.332490348712795,114.96621704101562,1186,83299.92792267476,208.2498198066869,time,60,5.659515805680797,52841.75566816309,0.6343553588331405
